user1: total_duration=7235ms, total_cost=42.50
user531: total_duration=10779ms, total_cost=80.98
user532: total_duration=11320ms, total_cost=91.76
user533: total_duration=14613ms, total_cost=100.39
user534: total_duration=7157ms, total_cost=48.69
user535: total_duration=8687ms, total_cost=51.73
user536: total_duration=18944ms, total_cost=129.28
user537: total_duration=4830ms, total_cost=39.51
user538: total_duration=8407ms, total_cost=49.17
user539: total_duration=8767ms, total_cost=49.27
user54: total_duration=8970ms, total_cost=57.55
user540: total_duration=2256ms, total_cost=18.80
user541: total_duration=9985ms, total_cost=72.24
user542: total_duration=15783ms, total_cost=112.54
user543: total_duration=5570ms, total_cost=49.89
user544: total_duration=12992ms, total_cost=73.96
user545: total_duration=9433ms, total_cost=53.76
user546: total_duration=7594ms, total_cost=58.38
user547: total_duration=12168ms, total_cost=102.92
user548: total_duration=11009ms, total_cost=80.61
user549: total_duration=10089ms, total_cost=76.63
user55: total_duration=15412ms, total_cost=107.76
user550: total_duration=9297ms, total_cost=71.91
user551: total_duration=5816ms, total_cost=34.82
user552: total_duration=10846ms, total_cost=79.49
user553: total_duration=8602ms, total_cost=52.24
user554: total_duration=10055ms, total_cost=67.49
user555: total_duration=13981ms, total_cost=83.23
user556: total_duration=8736ms, total_cost=57.87
user557: total_duration=4580ms, total_cost=23.65
user558: total_duration=3256ms, total_cost=22.50
user559: total_duration=9811ms, total_cost=75.49
user56: total_duration=9078ms, total_cost=52.43
user560: total_duration=12522ms, total_cost=75.83
user561: total_duration=7772ms, total_cost=47.12
user562: total_duration=11031ms, total_cost=60.63
user563: total_duration=8154ms, total_cost=49.12
user564: total_duration=10644ms, total_cost=70.60
user565: total_duration=7728ms, total_cost=40.43
user566: total_duration=10084ms, total_cost=74.63
user567: total_duration=9767ms, total_cost=51.83
user568: total_duration=12668ms, total_cost=80.34
user569: total_duration=2422ms, total_cost=13.08
user57: total_duration=9564ms, total_cost=78.42
user570: total_duration=11219ms, total_cost=76.19
user571: total_duration=10784ms, total_cost=75.28
user572: total_duration=16502ms, total_cost=116.79
user573: total_duration=9287ms, total_cost=83.07
user574: total_duration=7192ms, total_cost=49.75
user575: total_duration=8539ms, total_cost=53.72
user576: total_duration=3206ms, total_cost=28.19
user577: total_duration=5924ms, total_cost=46.96
user578: total_duration=8595ms, total_cost=43.60
user579: total_duration=5490ms, total_cost=21.24
user58: total_duration=8544ms, total_cost=57.61
user580: total_duration=15333ms, total_cost=85.62
user581: total_duration=11001ms, total_cost=71.21
user582: total_duration=17970ms, total_cost=116.81
user583: total_duration=5643ms, total_cost=35.31
user584: total_duration=5845ms, total_cost=39.85
user585: total_duration=15889ms, total_cost=108.95
user586: total_duration=7826ms, total_cost=54.17
user587: total_duration=9668ms, total_cost=57.82
user588: total_duration=8879ms, total_cost=61.54
user589: total_duration=8193ms, total_cost=33.20
user59: total_duration=8818ms, total_cost=48.77
user590: total_duration=9417ms, total_cost=49.59
user591: total_duration=19502ms, total_cost=112.15
user592: total_duration=11261ms, total_cost=71.34
user593: total_duration=11309ms, total_cost=72.97
user594: total_duration=14043ms, total_cost=104.29
user595: total_duration=6464ms, total_cost=28.14
user596: total_duration=10907ms, total_cost=74.75
user597: total_duration=13603ms, total_cost=83.89
user598: total_duration=9033ms, total_cost=63.15
user599: total_duration=8309ms, total_cost=68.60
user6: total_duration=10869ms, total_cost=88.48
user60: total_duration=5656ms, total_cost=29.64
user600: total_duration=5995ms, total_cost=28.63
user601: total_duration=7890ms, total_cost=45.24
user602: total_duration=12485ms, total_cost=76.73
user603: total_duration=6881ms, total_cost=36.29
user604: total_duration=11565ms, total_cost=72.58
user605: total_duration=10139ms, total_cost=52.65
user606: total_duration=6561ms, total_cost=47.31
user607: total_duration=10608ms, total_cost=78.05
user608: total_duration=13498ms, total_cost=81.47
user609: total_duration=10594ms, total_cost=74.06
user61: total_duration=13600ms, total_cost=71.35
user610: total_duration=8940ms, total_cost=48.04
user611: total_duration=5659ms, total_cost=32.70
user612: total_duration=11621ms, total_cost=81.37
user613: total_duration=11741ms, total_cost=102.02
user614: total_duration=14713ms, total_cost=83.23
user615: total_duration=16734ms, total_cost=101.21
user616: total_duration=8430ms, total_cost=53.68
user617: total_duration=5568ms, total_cost=32.79
user618: total_duration=3356ms, total_cost=19.44
user619: total_duration=14874ms, total_cost=108.06
user62: total_duration=9376ms, total_cost=66.69
user620: total_duration=13214ms, total_cost=60.88
user621: total_duration=4834ms, total_cost=32.02
user622: total_duration=11650ms, total_cost=87.77
user623: total_duration=5337ms, total_cost=43.09
user624: total_duration=10263ms, total_cost=47.09
user625: total_duration=10230ms, total_cost=80.21
user626: total_duration=13130ms, total_cost=80.86
user627: total_duration=9274ms, total_cost=72.96
user628: total_duration=6262ms, total_cost=38.27
user629: total_duration=11111ms, total_cost=82.30
user63: total_duration=12528ms, total_cost=82.50
user630: total_duration=7306ms, total_cost=45.68
user631: total_duration=8867ms, total_cost=56.11
user632: total_duration=12598ms, total_cost=86.96
user633: total_duration=9924ms, total_cost=57.92
user634: total_duration=5056ms, total_cost=18.93
user635: total_duration=15974ms, total_cost=93.65
user636: total_duration=4499ms, total_cost=26.37
user637: total_duration=6438ms, total_cost=44.53
user638: total_duration=9634ms, total_cost=76.75
user639: total_duration=11595ms, total_cost=79.71
user64: total_duration=6112ms, total_cost=43.43
user640: total_duration=12361ms, total_cost=73.66
user641: total_duration=8278ms, total_cost=63.71
user642: total_duration=7066ms, total_cost=50.15
user643: total_duration=6949ms, total_cost=45.50
user644: total_duration=11822ms, total_cost=77.85
user645: total_duration=8436ms, total_cost=50.57
user646: total_duration=13283ms, total_cost=81.90
user647: total_duration=21650ms, total_cost=139.67
user648: total_duration=6173ms, total_cost=39.31
user649: total_duration=8573ms, total_cost=40.20
user65: total_duration=13331ms, total_cost=87.70
user650: total_duration=10972ms, total_cost=62.59
user651: total_duration=3427ms, total_cost=31.70
user652: total_duration=7921ms, total_cost=37.55
user653: total_duration=12296ms, total_cost=91.35
user654: total_duration=12823ms, total_cost=78.80
user655: total_duration=13790ms, total_cost=71.83
user656: total_duration=6886ms, total_cost=36.34
user657: total_duration=11683ms, total_cost=69.03
user658: total_duration=5851ms, total_cost=37.00
user659: total_duration=9397ms, total_cost=46.49
user66: total_duration=9667ms, total_cost=51.41
user660: total_duration=4676ms, total_cost=34.19
user661: total_duration=12724ms, total_cost=85.80
user662: total_duration=10936ms, total_cost=69.29
user663: total_duration=13129ms, total_cost=89.72
user664: total_duration=17493ms, total_cost=108.92
user665: total_duration=8587ms, total_cost=35.04
user666: total_duration=11825ms, total_cost=53.70
user667: total_duration=8173ms, total_cost=61.89
user668: total_duration=11081ms, total_cost=86.13
user669: total_duration=4520ms, total_cost=32.21
user67: total_duration=7348ms, total_cost=39.24
